var,p,q,S,P,Q,d,AIC
1,3,4,6,1,1,0,-20.24965914
1,2,4,6,1,1,1,-18.7385435
2,3,4,6,1,2,0,1039.52838
2,3,5,6,2,2,1,1029.681803
3,1,1,12,2,2,0,501.9193698
3,0,3,12,2,2,1,505.8128657
4,4,5,6,0,1,0,1606.632489
4,5,4,8,1,0,1,1591.090511
5,2,0,12,1,1,0,242.0007067
5,1,0,12,1,1,1,234.7147335
6,3,4,6,1,1,0,-20.24965914
6,2,4,6,1,1,1,-18.7385435
7,1,0,12,1,1,0,1973.714903
7,1,1,12,1,1,1,1949.649325
8,1,1,12,2,0,0,751.3292856
8,0,1,12,2,0,1,742.5905127
9,2,4,12,1,2,0,347.0438167
9,4,5,12,1,2,1,340.8962802
10,1,0,12,1,1,0,1160.72887
10,1,1,6,0,0,1,1147.878871
11,2,0,12,1,1,0,242.0007067
11,1,0,12,1,1,1,234.7147335
var,p,q,S,P,Q,d,AIC
5,1,0,12,0,1,0,101.2593662
5,0,0,12,1,1,1,97.5596991
10,1,1,12,0,1,0,463.0941167
10,1,2,12,0,1,1,464.5075811
12,2,0,12,1,0,0,2374.501266
12,2,1,6,2,0,1,2350.372502
13,1,0,12,0,1,0,101.2593662
13,0,0,12,1,1,1,97.5596991
